Abnormity,Precision,Sensitivity,Specificity,FOne,AUC
CottonWoolPatch,0.996,0.998,0.971,0.997,1.000
Drusen,1.000,0.999,0.997,0.999,1.000
HardExudate,0.998,0.997,0.983,0.998,1.000
Hemorrhage,0.991,0.994,0.925,0.992,0.998
MH,1.000,1.000,1.000,1.000,1.000
Microaneurysm,0.999,0.998,0.992,0.999,1.000
Normal,1.000,1.000,1.000,1.000,1.000
RP,1.000,1.000,1.000,1.000,1.000
VascularAbnormity,0.998,0.995,0.986,0.996,1.000
