Trained from F 2024-05-03 20-38-55,Data: Fundus-normal-DR-selected,batchSize = 4,LR = 0.001,epochNum = 25,timeElapsed = 160m  2.72s
1,0.7700000405311584,0.8553597331047058,3.101115296974778,0.3500699411787738,0.001
2,0.8100000619888306,0.8450807332992554,4.205750268042087,0.3648349484606549,0.001
3,0.7820000648498535,0.8399412631988525,2.4088073470294478,0.3703915746595366,0.001
4,0.8160000443458557,0.853157103061676,1.6248809596896172,0.3510543608739863,0.001
5,0.8020000457763672,0.8524228930473328,3.0407941324561834,0.34557205678761094,0.001
6,0.8160000443458557,0.8560939431190491,1.7278411833941936,0.34516364721398085,0.001
7,0.800000011920929,0.8355359435081482,1.0675022809803485,0.357134714479204,0.001
8,0.7920000553131104,0.8604992628097534,2.096354554414749,0.34327424377771903,0.001
9,0.8160000443458557,0.838472843170166,1.9473571725413203,0.368105134709291,0.001
10,0.7500000596046448,0.8325991034507751,1.479098695755005,0.3765367114569078,0.001
11,0.8060000538825989,0.8560939431190491,0.6415199277997017,0.3353411804217293,0.001
12,0.7940000295639038,0.8311306834220886,1.2756218113601208,0.36292233499158144,0.001
13,0.7860000133514404,0.8619676828384399,2.4604794203191998,0.3369025944645972,0.001
14,0.7900000214576721,0.8524228930473328,1.0896264789104462,0.3403990564925293,0.001
15,0.7920000553131104,0.8421438932418823,1.3927008718848228,0.3747301749945256,0.001
16,0.8040000200271606,0.8582966327667236,5.143778331398964,0.3433610161905903,0.001
17,0.7860000133514404,0.8509544730186462,0.990778087116778,0.35164577242058104,0.001
18,0.8020000457763672,0.8560939431190491,2.2265585002601145,0.3374887866305841,0.001
19,0.8040000200271606,0.850220263004303,0.6483785832822323,0.3423163018376729,0.001
20,0.784000039100647,0.8450807332992554,2.40759212975204,0.3316191527910432,0.001
21,0.8240000605583191,0.823054313659668,0.8987877364754677,0.3950765490936725,0.001
22,0.7820000648498535,0.8472834229469299,2.996644599288702,0.34272098495582565,0.001
23,0.7900000214576721,0.8340675234794617,1.188302253395319,0.36807025524359555,0.001
24,0.8100000619888306,0.8414096832275391,1.0389989033192397,0.35634512958635145,0.001
25,0.8140000104904175,0.853157103061676,1.846568691805005,0.323592237590726,0.001
