Trained from ResNet152,Data: Fundus-normal-DR-demo,batchSize = 16,LR = 0.001,epochNum = 5,timeElapsed = 1m  13.26s
1,0.550000011920929,0.523809552192688,-0.5054504096508026,-0.5134566284361339,0.001
2,0.5,0.761904776096344,-0.5093691945075989,-0.572750259013403,0.001
3,0.45000001788139343,0.8809524178504944,-0.5033564090728759,-0.6303578047525316,0.001
4,0.45000001788139343,0.8333333730697632,-0.5071008920669555,-0.6750859078906831,0.001
5,0.45000001788139343,0.9047619104385376,-0.5092859148979187,-0.7280944358734858,0.001
