Trained from ResNet152,Data: Fundus-normal-DR-demo,batchSize = 16,LR = 0.001,epochNum = 5,timeElapsed = 1m  12.85s
1,0.550000011920929,0.5476190447807312,0.7059162497520447,0.6855604478291103,0.001
2,0.550000011920929,0.785714328289032,0.7108358979225159,0.5804851537659055,0.001
3,0.550000011920929,0.9047619104385376,0.6872207164764405,0.4852458465666998,0.001
4,0.550000011920929,0.8809524178504944,0.6822902679443359,0.4537125683966137,0.001
5,0.550000011920929,0.9047619104385376,0.6913110971450805,0.3792310385476975,0.001
