Trained from ResNet152,Data: OCT-normal-3diseases-large,batchSize = 16,LR = 0.001,epochNum = 5,timeElapsed = 44m  0.34s
1,0.7276803851127625,0.7343996167182922,0.7297509719389486,0.7087384651397107,0.001
2,0.7457194924354553,0.7821701169013977,0.6614350475465042,0.5717627279443277,0.001
3,0.7459233403205872,0.7944686412811279,0.6734787556306713,0.544716206854883,0.001
4,0.7488788962364197,0.8010420203208923,0.6681569859391565,0.5289991088857019,0.001
5,0.7479616403579712,0.8015872836112976,0.6565193932820863,0.5219023856797623,0.001
