Trained from F 2024-05-04 07-50-36,Data: Fundus-normal-DR-selected,batchSize = 4,LR = 0.001,epochNum = 15,timeElapsed = 95m  57.80s
1,0.7920000553131104,0.8355359435081482,2.30105348097533,0.3726923459656701,0.001
2,0.7900000214576721,0.8399412631988525,3.127275500625372,0.35563755270350783,0.001
3,0.812000036239624,0.8414096832275391,1.3360029428303242,0.36185264904134073,0.001
4,0.7940000295639038,0.8538913130760193,0.6413952521830797,0.33767283159183686,0.001
5,0.796000063419342,0.8568281531333923,6.08984589573741,0.3367127158819929,0.001
6,0.800000011920929,0.8494860529899597,4.76063344308734,0.33448135100370724,0.001
7,0.8200000524520874,0.8480176329612732,0.7007898540198803,0.33889329338257534,0.001
8,0.7800000309944153,0.8348017334938049,1.0592028824836015,0.37364030987976143,0.001
9,0.8140000104904175,0.8582966327667236,1.832746995434165,0.33352111063339634,0.001
10,0.796000063419342,0.850220263004303,9.803632416442037,0.3308761507141433,0.001
11,0.7580000162124634,0.8693098425865173,2.8170588434785606,0.32356157945810915,0.001
12,0.800000011920929,0.8634361028671265,2.6307469273507595,0.32650190924954836,0.001
13,0.8140000104904175,0.8538913130760193,5.491208416230976,0.33686466692029204,0.001
14,0.8080000281333923,0.8524228930473328,2.1471447861492634,0.32788435645160785,0.001
15,0.812000036239624,0.8582966327667236,2.835654585599899,0.3283662511016654,0.001
