Trained from ResNet152,Data: Fundus-normal-DR-demo,batchSize = 16,LR = 0.001,epochNum = 5,timeElapsed = 1m  11.33s
1,0.5,0.4047619104385376,1.0401706457138062,1.2469785383769445,0.001
2,0.5,0.7142857313156128,0.909597635269165,0.8041030282065982,0.001
3,0.6000000238418579,0.8333333730697632,0.8531181812286377,0.6416131541842506,0.001
4,0.45000001788139343,0.9047619104385376,0.805567455291748,0.5258082974524725,0.001
5,0.4000000059604645,0.9285714626312256,0.7869674563407898,0.45394218819481985,0.001
