Trained from O 2024-08-13 08-07-02,Data: ODADS/Data/Data/Transformed/OCT/,batchSize = 16,LR = 0.001,epochNum = 17,timeElapsed = 148m  30.82s
1,0.9392592310905457,0.9465509057044983,0.17398930362792236,0.16563228804454277,0.001
2,0.9563888907432556,0.956944465637207,0.14873829003578673,0.1305066298719767,0.001
3,0.9721296429634094,0.957152783870697,0.08409640318488797,0.13460950504406355,0.001
4,0.9682407379150391,0.9665740728378296,0.09553446197436036,0.10090742309816926,0.001
5,0.9668518304824829,0.971666693687439,0.10660869512218697,0.08448774392687955,0.001
6,0.9404629468917847,0.9725231528282166,0.1901348802642638,0.08664690191117524,0.001
7,0.9831481575965881,0.9760416746139526,0.05294665845671261,0.0739949861628493,0.001
8,0.9815740585327148,0.9801852107048035,0.06015103620560021,0.05638490466806413,0.001
9,0.9797222018241882,0.9796990752220154,0.058243269235740795,0.0621195130791728,0.001
10,0.9830555319786072,0.9831944704055786,0.05071138656776855,0.05197688326605523,0.001
11,0.9819444417953491,0.9860647916793823,0.05118125980977412,0.040393275388355084,0.001
12,0.9885185360908508,0.9870833158493042,0.03408829429732308,0.04148318608184447,0.001
13,0.9893518686294556,0.9854629635810852,0.029601480617180025,0.04996225828785656,0.001
14,0.9891666769981384,0.9881481528282166,0.03235123612231708,0.03588187542681125,0.001
15,0.9860185384750366,0.9894213080406189,0.04163837982852716,0.031803340067150555,0.001
16,0.9899073839187622,0.9907175898551941,0.027500208913626027,0.029425157208392345,0.001
17,0.9912962913513184,0.9906712770462036,0.024180417743293,0.02689624447983951,0.001
