Trained from ResNet152,Data: ODADS/Data/Data/Transformed/OCT/,batchSize = 16,LR = 0.001,epochNum = 100,timeElapsed = 523m  45.37s
1,0.7720370292663574,0.7396990656852722,0.6867196183292954,0.755272848893095,0.001
2,0.7947221994400024,0.7916898131370544,0.5745055863537171,0.5636289093091532,0.001
3,0.8048148155212402,0.8018749952316284,0.5735019993340528,0.5271570710851639,0.001
4,0.8126851916313171,0.8064120411872864,0.6831060127913952,0.5086952978689914,0.001
5,0.8257407546043396,0.8111574053764343,0.5326932915714052,0.49586102903027224,0.001
6,0.8301851749420166,0.8138425946235657,0.658257031644936,0.49298965510670784,0.001
7,0.820277750492096,0.8171064853668213,0.5221046395047947,0.4788431333453843,0.001
8,0.8264814615249634,0.8201620578765869,0.507238086230225,0.4736244366635327,0.001
9,0.8207407593727112,0.8203009366989136,1.0595349812893955,0.4777618613690828,0.001
10,0.8349074125289917,0.8203240633010864,0.5182379257596201,0.47216661979340846,0.001
11,0.8332407474517822,0.8227314949035645,0.4750420041879018,0.4691174167222171,0.001
12,0.8327777981758118,0.8206250071525574,0.4640882292941765,0.46909135767707116,0.001
13,0.8159258961677551,0.821967601776123,0.8459712848288041,0.46424093514680864,0.001
14,0.8344444632530212,0.8221064805984497,0.9488836974678216,0.465956942204524,0.001
15,0.8359259366989136,0.8247453570365906,0.5023587944731116,0.4633046229908036,0.001
16,0.8322222232818604,0.8218518495559692,0.9071753903464587,0.46742146758017716,0.001
17,0.8285185098648071,0.8216666579246521,0.8707752918700377,0.4669768522217594,0.001
18,0.82833331823349,0.8258565068244934,0.7374826627473037,0.457608148543923,0.001
19,0.8270370364189148,0.823379635810852,1.089682170547269,0.4615436832248061,0.001
20,0.8386111259460449,0.8259490728378296,0.43219697160715304,0.46255250327116637,0.001
21,0.8320370316505432,0.8255555629730225,0.5719820896508517,0.45798144763818494,0.001
22,0.8333333134651184,0.8237500190734863,0.6421759658389621,0.4584545819164702,0.001
23,0.8369444608688354,0.8244212865829468,0.7889663768256152,0.4608711925452506,0.001
24,0.8402777910232544,0.8239352107048035,0.519734211459204,0.4603599417044057,0.001
25,0.8311111330986023,0.8268518447875977,1.0134482334388626,0.4538730541313136,0.001
26,0.835185170173645,0.8261111378669739,1.1429156868346035,0.45686805126774643,0.001
27,0.8399074077606201,0.8241666555404663,0.6328496608027705,0.4577647924657773,0.001
28,0.837592601776123,0.8237037062644958,0.7586584350025213,0.45975927576353703,0.001
29,0.837314784526825,0.8262731432914734,0.8423764393395847,0.46038562935673527,0.001
30,0.8321296572685242,0.8251851797103882,0.9067770065808738,0.45678556087081906,0.001
31,0.8392592668533325,0.8238657116889954,0.647708323597908,0.4576632288325992,0.001
32,0.8367592692375183,0.8274999856948853,1.2502966109221731,0.451717889495194,0.001
33,0.8322222232818604,0.8280555605888367,0.7859805821654973,0.45173530795438976,0.001
34,0.8358333110809326,0.8271759152412415,0.9710046890764324,0.4571115982085811,0.001
35,0.8387036919593811,0.8246064782142639,1.2179125516944462,0.45573565506341834,0.001
36,0.8377777934074402,0.8263888955116272,0.9592156949735902,0.4573339265233113,0.001
37,0.8383333086967468,0.8243749737739563,0.6595738541393507,0.45812263603322206,0.001
38,0.8370370268821716,0.826504647731781,0.64126430651104,0.4597424047053964,0.001
39,0.8412036895751953,0.8278009295463562,0.7358628244339316,0.4546532004940565,0.001
40,0.8387036919593811,0.82662034034729,1.3895383328999633,0.452080486709321,0.001
41,0.8461111187934875,0.8221296072006226,0.4975763510029625,0.464282600849315,0.001
42,0.837314784526825,0.8247453570365906,1.029621441496743,0.4555712684409486,0.001
43,0.8338888883590698,0.8276157379150391,0.7760106037667504,0.45532782382883685,0.001
44,0.8359259366989136,0.8263657093048096,1.4926140267822754,0.4553036124524833,0.001
45,0.8362963199615479,0.8260185122489929,0.6415558580391937,0.45816138166658305,0.001
46,0.8367592692375183,0.828125,0.8474714202792556,0.4523196724664282,0.001
47,0.837314784526825,0.8259721994400024,0.826223953862985,0.45499595067636284,0.001
48,0.8379629850387573,0.8268981575965881,1.0408509539067745,0.45617516179258627,0.001
49,0.8417592644691467,0.8247685432434082,0.5074131340975011,0.4587803381771125,0.001
50,0.8360185027122498,0.8268287181854248,0.8329248527630612,0.45180047522454214,0.001
51,0.837592601776123,0.8268981575965881,0.8076537914408578,0.4533807998516217,0.001
52,0.8337036967277527,0.8267824053764343,0.4993952245679167,0.45760669725826353,0.001
53,0.8366666436195374,0.8268518447875977,0.7506213611943854,0.4506690153700334,0.001
54,0.8333333134651184,0.8270833492279053,1.0516038016298854,0.4532810596349063,0.001
55,0.8301851749420166,0.826712965965271,0.6251801004122804,0.45506799751099336,0.001
56,0.8368518352508545,0.8246759176254272,0.7083278867271211,0.4542021729631556,0.001
57,0.8355555534362793,0.8276851773262024,0.8497556980257784,0.4528059046908661,0.001
58,0.8402777910232544,0.825717568397522,0.8856045181690543,0.45180315582564584,0.001
59,0.8386111259460449,0.8287731409072876,0.5070118177130266,0.45428355820339034,0.001
60,0.8384259343147278,0.8278934955596924,0.695791011378169,0.4554881612997916,0.001
61,0.84416663646698,0.8257407546043396,0.48942492274774446,0.45957658779462457,0.001
62,0.8428703546524048,0.8254398107528687,0.7805735422022365,0.45720341831273226,0.001
63,0.829537034034729,0.8246296048164368,0.5366388655095189,0.45662287370612226,0.001
64,0.8272222280502319,0.8249305486679077,1.4505473424935782,0.4554709851934954,0.001
65,0.8386111259460449,0.8277083039283752,1.038924691423222,0.45144604299113983,0.001
66,0.8347222208976746,0.8271759152412415,0.8384024390412701,0.453431570560292,0.001
