Trained from ResNet152,Data: OCT-normal-drusen-selected,batchSize = 16,LR = 0.001,epochNum = 50,timeElapsed = 73m  9.95s
1,0.7280000448226929,0.7671924233436584,0.5430418992042542,0.4820011771439754,0.001
2,0.7540000081062317,0.8324921131134033,0.5176101832389831,0.3859002339727119,0.001
3,0.7320000529289246,0.8402208089828491,0.5179821872711181,0.36441794341012884,0.001
4,0.7500000596046448,0.8443217277526855,0.4956281905174255,0.3518313621308901,0.001
5,0.7480000257492065,0.8556782007217407,0.4845032329559326,0.3327640515960729,0.001
6,0.7000000476837158,0.8523659110069275,0.5589258217811585,0.33706572714852234,0.001
7,0.7520000338554382,0.8651419281959534,0.4933539514541626,0.3164763428623368,0.001
8,0.7720000147819519,0.8602523803710938,0.47633941745758057,0.3219566999173691,0.001
9,0.7580000162124634,0.8643532991409302,0.48678394114971163,0.3131715434441807,0.001
10,0.7320000529289246,0.8657728433609009,0.4955801033973694,0.314636424635111,0.001
11,0.7360000610351562,0.8727129101753235,0.49896984446048737,0.3020818738531239,0.001
12,0.7500000596046448,0.8676655888557434,0.5141364800333976,0.3073024644084533,0.001
13,0.7140000462532043,0.8755520582199097,0.5172812719345092,0.29669699576750913,0.001
14,0.7140000462532043,0.8722397089004517,0.49978165435791017,0.30133006362132847,0.001
15,0.6780000329017639,0.8697160482406616,0.635160842180252,0.3001552484671024,0.001
16,0.7480000257492065,0.8698738217353821,0.5085982093811036,0.3011710836167215,0.001
17,0.734000027179718,0.872081995010376,0.5280854949951171,0.293553312193332,0.001
18,0.706000030040741,0.8744479417800903,0.5821505022048951,0.29672616942071767,0.001
19,0.734000027179718,0.8774448037147522,0.5760387268066406,0.28928655724420155,0.001
20,0.7440000176429749,0.8731861114501953,0.5307982609272003,0.2943960312930191,0.001
21,0.7480000257492065,0.8723974823951721,0.5012100348472596,0.30079155312351624,0.001
22,0.7260000109672546,0.874605655670166,0.5388549780845642,0.2947401022779453,0.001
23,0.7480000257492065,0.8744479417800903,0.5155064296722413,0.2936333079772417,0.001
24,0.706000030040741,0.8742902278900146,0.6059740293920041,0.28603885274979785,0.001
25,0.7260000109672546,0.8834384679794312,0.5614473857879638,0.27625113556437686,0.001
26,0.7580000162124634,0.8815457224845886,0.5043817920684814,0.27866301502245083,0.001
27,0.6860000491142273,0.8788643479347229,0.6362364225387573,0.28176117515902416,0.001
28,0.7280000448226929,0.8731861114501953,0.5731903085708618,0.29403591843245536,0.001
29,0.7300000190734863,0.8823343515396118,0.5395505738258362,0.28323415046798694,0.001
30,0.7000000476837158,0.8847002983093262,0.6488134179115296,0.2755553767414123,0.001
31,0.7480000257492065,0.8779179453849792,0.5356613767147064,0.28248559903083165,0.001
32,0.734000027179718,0.8766561150550842,0.5288594026565552,0.2882574538515193,0.001
33,0.7100000381469727,0.8821766376495361,0.5606936049461365,0.28440574038573996,0.001
34,0.7260000109672546,0.8812302947044373,0.5645296025276184,0.28498699582337583,0.001
35,0.7160000205039978,0.8779179453849792,0.5996211590766907,0.29201205615365544,0.001
36,0.7300000190734863,0.8790220618247986,0.547947667837143,0.2834251642509214,0.001
37,0.7400000095367432,0.8772870302200317,0.5447498440742493,0.2887425159054224,0.001
38,0.7280000448226929,0.8790220618247986,0.5745657510757446,0.2824354900452617,0.001
39,0.7200000286102295,0.8774448037147522,0.5553350512981414,0.28016803586849653,0.001
40,0.706000030040741,0.8753942847251892,0.5804529142379761,0.29016974269403645,0.001
41,0.7260000109672546,0.8785488605499268,0.5579392685890198,0.2815709595800574,0.001
42,0.7300000190734863,0.8692429065704346,0.5567575869560242,0.2961994233849673,0.001
43,0.734000027179718,0.8837539553642273,0.5489837390184402,0.27953511197296227,0.001
44,0.7260000109672546,0.8824921250343323,0.56164026927948,0.2792112311448209,0.001
45,0.7320000529289246,0.872081995010376,0.5583802828788758,0.2938366205346321,0.001
46,0.7360000610351562,0.8859621286392212,0.5741996355056763,0.27397680484722087,0.001
47,0.7280000448226929,0.8805993795394897,0.5632987514734268,0.27342770923786924,0.001
48,0.718000054359436,0.8796529769897461,0.5802465932369232,0.2855453315311426,0.001
49,0.7160000205039978,0.8818612098693848,0.5571508004665374,0.2770495672096213,0.001
50,0.7380000352859497,0.8766561150550842,0.5628332161903381,0.28608170627419505,0.001
