Trained from O 2024-05-05 17-59-06,Data: OCT-normal-drusen-demo,batchSize = 4,LR = 0.001,epochNum = 15,timeElapsed = 1m  28.06s
1,0.7333333492279053,0.9540815949440002,0.6121558745702108,0.16481360956570323,0.001
2,0.5333333611488342,0.9795918464660645,0.9180166244506835,0.14245477292154515,0.001
3,0.6222222447395325,0.8928571343421936,0.7790788822703891,0.25621582274990423,0.001
4,0.47777777910232544,0.9285714030265808,1.1391017489963107,0.2567294030925449,0.001
5,0.7444444894790649,0.9438775181770325,0.5833910736772749,0.19949249771176553,0.001
6,0.699999988079071,0.9438775181770325,0.6900843275917901,0.190998659526207,0.001
7,0.6888889074325562,0.9234693646430969,0.6116226394971211,0.21322001872242105,0.001
8,0.6777777671813965,0.9438775181770325,0.7766359849108591,0.1734369851040597,0.001
9,0.7111111283302307,0.9438775181770325,0.5484997742705875,0.18751774118186867,0.001
10,0.7222222685813904,0.9489795565605164,0.6218862507078383,0.15955438767084662,0.001
11,0.6777777671813965,0.9540815949440002,0.5541450338231193,0.13670109560219001,0.001
12,0.6333333253860474,0.9591836333274841,0.7199897660149468,0.14396933610646093,0.001
13,0.7222222685813904,0.9693877100944519,0.559007594982783,0.1308316047284372,0.001
14,0.6888889074325562,0.9336734414100647,0.5953590452671051,0.17154145982040434,0.001
15,0.7333333492279053,0.9693877100944519,0.5698485228750441,0.15351540945014175,0.001
