Trained from ResNet152,Data: OCT-normal-drusen-large,batchSize = 16,LR = 0.001,epochNum = 100,timeElapsed = 363m  42.79s
1,0.8362982273101807,0.8093209266662598,0.38588488602451426,0.4220897149652102,0.001
2,0.8591698408126831,0.8411117196083069,0.3458496905620297,0.3603258264989958,0.001
3,0.8509106636047363,0.8495674133300781,0.3580091394253678,0.34491608961908743,0.001
4,0.8661584258079529,0.8548767566680908,0.32530442210626725,0.33718536957106043,0.001
5,0.8460398316383362,0.8579575419425964,0.35953468606917344,0.3302305867816368,0.001
6,0.810461699962616,0.8595306873321533,0.41060248259667975,0.32980058695407954,0.001
7,0.8621346950531006,0.8660854697227478,0.33017408809940574,0.3211759516454581,0.001
8,0.8267683386802673,0.8568432331085205,0.38566033261063265,0.33023953547981566,0.001
9,0.8581109642982483,0.8622837066650391,0.33823459636189646,0.3246603817779104,0.001
10,0.815967857837677,0.8626769781112671,0.4097708671060673,0.3237523335981069,0.001
11,0.8536637425422668,0.8616282343864441,0.34106802593558483,0.3259341657536781,0.001
12,0.8509106636047363,0.8617593050003052,0.3447120251013333,0.32680157552105504,0.001
13,0.8434985280036926,0.864905595779419,0.360793278940347,0.3196130148445241,0.001
14,0.852816641330719,0.8618248701095581,0.34670034211250444,0.3225809787881112,0.001
15,0.8612875938415527,0.8599895238876343,0.32919540291921107,0.32493413395605353,0.001
16,0.8564168214797974,0.8588096499443054,0.33935356225971447,0.32665782564040813,0.001
17,0.8623464703559875,0.8622837066650391,0.32759198312888654,0.3255600261247527,0.001
18,0.8316391706466675,0.8609071969985962,0.38656623266110324,0.3206528266515792,0.001
19,0.8492164611816406,0.8674619793891907,0.34730565919841005,0.3176256920507458,0.001
20,0.84159255027771,0.8622837066650391,0.36223070296328336,0.3280149315296822,0.001
21,0.8517577648162842,0.8606449961662292,0.3542331166877831,0.3194549102306866,0.001
22,0.8646759986877441,0.8620215058326721,0.32823201055902385,0.3226660994542289,0.001
23,0.8568403720855713,0.8641190528869629,0.3457751159068262,0.3169814773337592,0.001
24,0.8466751575469971,0.8643812537193298,0.3592820670558254,0.3211428468170814,0.001
25,0.847098708152771,0.8628736138343811,0.35338917677556997,0.3191729682352634,0.001
26,0.852816641330719,0.861890435218811,0.3700538630179559,0.32036107392931834,0.001
27,0.8058026432991028,0.8622181415557861,0.43520488522154754,0.3222528411633192,0.001
28,0.8210504055023193,0.863594651222229,0.40675741610815846,0.3242660176046056,0.001
29,0.8017789125442505,0.8622837066650391,0.4258804721935277,0.3223021276330348,0.001
30,0.8422278761863708,0.8648400902748108,0.3682593072006027,0.3240824156583887,0.001
31,0.8454045057296753,0.863201379776001,0.3541007726463106,0.3225742281733474,0.001
32,0.8583227396011353,0.8661510348320007,0.3454489786207853,0.3205488984051586,0.001
33,0.8519695401191711,0.8626769781112671,0.34612457788076406,0.3218145540690291,0.001
34,0.8456162810325623,0.8653644323348999,0.351086076633032,0.3193419538164833,0.001
35,0.8504871129989624,0.863987922668457,0.3890917438450429,0.3227663642615002,0.001
36,0.8589580655097961,0.8668065071105957,0.33817813051600215,0.3166999780442556,0.001
37,0.8449809551239014,0.8666098713874817,0.3549556304013916,0.3164594193239705,0.001
38,0.8140618801116943,0.8652989268302917,0.4136400636299744,0.3221735318582534,0.001
39,0.8547226190567017,0.8678552508354187,0.3457591268015029,0.31367070288028653,0.001
40,0.8261330127716064,0.8668720722198486,0.3972132712640484,0.31456240625220816,0.001
41,0.8199915289878845,0.8619559407234192,0.40577395345537604,0.32184424363838543,0.001
42,0.8392630219459534,0.8603827953338623,0.3716655966748074,0.3268532571590378,0.001
43,0.8335451483726501,0.8592029213905334,0.3827347174280531,0.32672666903247244,0.001
