Trained from ResNet152,Data: OCT-normal-drusen-demo,batchSize = 4,LR = 0.001,epochNum = 10,timeElapsed = 1m  3.61s
1,0.5222222208976746,0.6581632494926453,0.7230482392840916,0.6295798816242997,0.001
2,0.4888888895511627,0.714285671710968,0.7946963681115045,0.5492792719480942,0.001
3,0.6333333253860474,0.7448979616165161,0.6791565259297688,0.48897301603336724,0.001
4,0.5777778029441833,0.8214285373687744,0.6909081366327073,0.4119130753132762,0.001
5,0.6333333253860474,0.8469387292861938,0.6431736919615004,0.39710685063381584,0.001
6,0.5111111402511597,0.8724489808082581,0.7118450813823276,0.35734420452190907,0.001
7,0.5444444417953491,0.8571428656578064,0.7263702829678853,0.37255579111527426,0.001
8,0.6111111044883728,0.8775510191917419,0.6843916535377502,0.31519158595070546,0.001
9,0.5777778029441833,0.8724489808082581,0.6844614558749729,0.35397975245604707,0.001
10,0.699999988079071,0.9030612111091614,0.650910656981998,0.30820533465974187,0.001
